Accession,Description,Length
PQ777132.1,"30. UNVERIFIED: Canine astrovirus isolate 84D capsid protein-like gene, complete sequence","2,331 bp linear RNA"
PQ777131.1,"31. UNVERIFIED: Canine astrovirus isolate 98D capsid protein-like gene, complete sequence","2,505 bp linear RNA"
PQ777130.1,"32. UNVERIFIED: Canine astrovirus isolate 288D capsid protein-like gene, complete sequence","2,322 bp linear RNA"
PQ777129.1,"33. UNVERIFIED: Canine astrovirus isolate 286D capsid protein-like gene, complete sequence","2,499 bp linear RNA"
PQ777128.1,"34. UNVERIFIED: Canine astrovirus isolate 41D capsid protein-like gene, complete sequence","2,505 bp linear RNA"
PQ777127.1,"35. UNVERIFIED: Canine astrovirus isolate 88D capsid protein-like gene, complete sequence","2,475 bp linear RNA"
PQ777126.1,"36. UNVERIFIED: Canine astrovirus isolate 90D capsid protein-like gene, complete sequence","2,475 bp linear RNA"
PQ777125.1,"37. UNVERIFIED: Canine astrovirus isolate 290D capsid protein-like gene, complete sequence","2,499 bp linear RNA"
PQ777124.1,"38. UNVERIFIED: Canine astrovirus isolate 380D capsid protein-like gene, complete sequence","2,499 bp linear RNA"
PQ601068.1,"39. UNVERIFIED: Bovine astrovirus isolate NX-AstV2 ORF2-like gene, partial sequence","2,334 bp linear RNA"
PQ601067.1,"40. UNVERIFIED: Bovine astrovirus isolate NX-AstV1 ORF2-like gene, partial sequence","3,602 bp linear RNA"
PQ287383.1,41. UNVERIFIED: Duck astrovirus 3 strain SD455 genomic sequence,"7,463 bp linear RNA"
PQ287382.1,42. UNVERIFIED: Duck astrovirus 3 strain SD316 genomic sequence,"7,463 bp linear RNA"
PQ287381.1,43. UNVERIFIED: Duck astrovirus 3 strain SD296 genomic sequence,"7,463 bp linear RNA"
PQ287380.1,44. UNVERIFIED: Duck astrovirus 3 strain SD415 genomic sequence,"7,463 bp linear RNA"
PQ287379.1,45. UNVERIFIED: Duck astrovirus 3 strain NMG312 genomic sequence,"7,463 bp linear RNA"
PQ287378.1,46. UNVERIFIED: Duck astrovirus 3 strain NMG179 genomic sequence,"7,463 bp linear RNA"
OR412751.1,47. UNVERIFIED: Duck hepatitis virus 3 sequence,"1,084 bp linear RNA"
PQ106802.1,48. MAG UNVERIFIED: Zhejiang porcine bastro-like virus isolate HDD2 genomic sequence,"5,918 bp linear RNA"
PQ038334.1,"49. UNVERIFIED: Bat astrovirus isolate MIZ141 RNA-dependent RNA polymerase-like gene, partial sequence",422 bp linear RNA
PQ038333.1,"50. UNVERIFIED: Bat astrovirus isolate KEL299B RNA-dependent RNA polymerase-like gene, partial sequence",416 bp linear RNA
PQ038332.1,"51. UNVERIFIED: Bat astrovirus isolate KEL200 RNA-dependent RNA polymerase-like gene, partial sequence",416 bp linear RNA
OR544230.1,"52. UNVERIFIED: Mamastrovirus 13 isolate OvAstV_TR_FIRAT, complete genome","6,382 bp linear RNA"
PP889839.1,"53. UNVERIFIED: Canine astrovirus isolate 393D_ECU RNA-dependent RNA polymerase-like gene, partial sequence",348 bp linear RNA
PP889838.1,"54. UNVERIFIED: Canine astrovirus isolate 366D_ECU RNA-dependent RNA polymerase-like gene, partial sequence",331 bp linear RNA
PP889837.1,"55. UNVERIFIED: Canine astrovirus isolate 255D_ECU RNA-dependent RNA polymerase-like gene, partial sequence",333 bp linear RNA
PP889836.1,"56. UNVERIFIED: Canine astrovirus isolate 288D_ECU RNA-dependent RNA polymerase-like gene, partial sequence",390 bp linear RNA
PP889835.1,"57. UNVERIFIED: Canine astrovirus isolate 286D_ECU RNA-dependent RNA polymerase-like gene, partial sequence",329 bp linear RNA
PP889834.1,"58. UNVERIFIED: Canine astrovirus isolate 442D_ECU RNA-dependent RNA polymerase-like gene, partial sequence",389 bp linear RNA
PP889833.1,"59. UNVERIFIED: Canine astrovirus isolate 380D_ECU RNA-dependent RNA polymerase-like gene, partial sequence",298 bp linear RNA
PP889832.1,"60. UNVERIFIED: Canine astrovirus isolate 370D_ECU RNA-dependent RNA polymerase-like gene, partial sequence",308 bp linear RNA
PP889831.1,"61. UNVERIFIED: Canine astrovirus isolate 371D_ECU RNA-dependent RNA polymerase-like gene, partial sequence",388 bp linear RNA
PP889830.1,"62. UNVERIFIED: Canine astrovirus isolate 283D_ECU RNA-dependent RNA polymerase-like gene, partial sequence",307 bp linear RNA
OQ615742.1,"63. UNVERIFIED: Goose astrovirus isolate HNHK0516, complete genome","7,156 bp linear RNA"
OQ615741.1,"64. UNVERIFIED: Goose astrovirus isolate HNHK0507, complete genome","7,122 bp linear RNA"
OQ615740.1,"65. UNVERIFIED: Goose astrovirus isolate HNHK0410, complete genome","7,183 bp linear RNA"
PP236967.1,66. UNVERIFIED: Astrovirus VA1 isolate HAstVVA1CASLlab genomic sequence,"6,473 bp linear RNA"
OP381856.1,"67. UNVERIFIED: Mamastrovirus 3 isolate V289 RNA-dependent RNA polymerase-like and capsid protein-like genes, partial sequence",692 bp linear RNA
OP381833.1,"68. UNVERIFIED: Mamastrovirus 3 isolate V163 RNA-dependent RNA polymerase-like and capsid protein-like genes, partial sequence",805 bp linear RNA
OP381831.1,"69. UNVERIFIED: Mamastrovirus 3 isolate V044 RNA-dependent RNA polymerase-like gene, partial sequence; and capsid protein gene, partial cds",730 bp linear RNA
OP381827.1,"70. UNVERIFIED: Mamastrovirus 3 isolate V032 RNA-dependent RNA polymerase gene, partial cds; and capsid protein-like gene, partial sequence",789 bp linear RNA
OP381851.1,"71. UNVERIFIED: Mamastrovirus 3 isolate V275 RNA-dependent RNA polymerase-like gene, partial sequence; and capsid protein gene, partial cds",772 bp linear RNA
OP381825.1,"72. UNVERIFIED: Mamastrovirus 3 isolate V009 RNA-dependent RNA polymerase-like gene, partial sequence; and capsid protein gene, partial cds",778 bp linear RNA
OR940920.1,"73. UNVERIFIED: Astroviridae sp. isolate AstV_200_2021_wb_POL RNA-dependent RNA polymerase-like (RdRp) gene, partial sequence",305 bp linear RNA
OR940919.1,"74. UNVERIFIED: Astroviridae sp. isolate AstV_163_2021_rat_POL RNA-dependent RNA polymerase-like (RdRp) gene, partial sequence",311 bp linear RNA
OR940918.1,"75. UNVERIFIED: Astroviridae sp. isolate AstV_90_2021_rat_POL RNA-dependent RNA polymerase-like (RdRp) gene, partial sequence",311 bp linear RNA
OR940917.1,"76. UNVERIFIED: Astroviridae sp. isolate AstV_85_2021_rat_POL RNA-dependent RNA polymerase-like (RdRp) gene, partial sequence",311 bp linear RNA
OR940916.1,"77. UNVERIFIED: Astroviridae sp. isolate Astv_57_2021_fox_POL RNA-dependent RNA polymerase-like (RdRp) gene, partial sequence",314 bp linear RNA
OR940915.1,"78. UNVERIFIED: Astroviridae sp. isolate AstV_56_2021_red_fox_POL RNA-dependent RNA polymerase-like (RdRp) gene, partial sequence",314 bp linear RNA
OR940914.1,"79. UNVERIFIED: Astroviridae sp. isolate AstV_138_2021_red_fox_POL RNA-dependent RNA polymerase-like (RdRp) gene, partial sequence",314 bp linear RNA
OR940913.1,"80. UNVERIFIED: Astroviridae sp. isolate AstV_301_2022_red_fox_POL RNA-dependent RNA polymerase-like (RdRp) gene, partial sequence",314 bp linear RNA
OR940912.1,"81. UNVERIFIED: Astroviridae sp. isolate AstV_55_2021_red_fox_POL RNA-dependent RNA polymerase-like (RdRp) gene, partial sequence",314 bp linear RNA
OR940911.1,"82. UNVERIFIED: Astroviridae sp. isolate AstV_53_2021_red_fox_POL RNA-dependent RNA polymerase-like (RdRp) gene, partial sequence",314 bp linear RNA
OR940910.1,"83. UNVERIFIED: Astroviridae sp. isolate AstV_205_2021_wb_POL RNA-dependent RNA polymerase-like (RdRp) gene, partial sequence",320 bp linear RNA
OR940909.1,"84. UNVERIFIED: Astroviridae sp. isolate AstV_39_2021_pig_POL RNA-dependent RNA polymerase-like (RdRp) gene, partial sequence",320 bp linear RNA
OR940908.1,"85. UNVERIFIED: Astroviridae sp. isolate AstV_101_2021_pig_POL RNA-dependent RNA polymerase-like (RdRp) gene, partial sequence",320 bp linear RNA
OR940907.1,"86. UNVERIFIED: Astroviridae sp. isolate AstV_15_2021_pig_POL RNA-dependent RNA polymerase-like (RdRp) gene, partial sequence",314 bp linear RNA
OR940906.1,"87. UNVERIFIED: Astroviridae sp. isolate AstV_14_2021_pig_POL RNA-dependent RNA polymerase-like (RdRp) gene, partial sequence",314 bp linear RNA
OR940905.1,"88. UNVERIFIED: Astroviridae sp. isolate AstV_12_2021_pig_POL RNA-dependent RNA polymerase-like (RdRp) gene, partial sequence",314 bp linear RNA
OR940904.1,"89. UNVERIFIED: Astroviridae sp. isolate AstV_120_2021_pig_POL RNA-dependent RNA polymerase-like (RdRp) gene, partial sequence",320 bp linear RNA
OR940903.1,"90. UNVERIFIED: Astroviridae sp. isolate AstV_104_2021_pig_POL RNA-dependent RNA polymerase-like (RdRp) gene, partial sequence",320 bp linear RNA
OR702990.1,"91. UNVERIFIED: Bovine astrovirus, partial genome","6,182 bp linear RNA"
OR613370.1,92. UNVERIFIED: Bat astrovirus isolate HABSC17/2058 similar to non-structural ORF1ab polyprotein genomic sequence,556 bp linear RNA
OR613348.1,93. UNVERIFIED: Bat astrovirus isolate MSJDC22/257 similar to non-structural ORF1ab polyprotein genomic sequence,950 bp linear RNA
OR613296.1,"94. UNVERIFIED: Bat astrovirus isolate PPYCC16/11 ORF1a gene, partial cds; and similar to ORF1b and similar to ORF2 genomic sequences","6,625 bp linear RNA"
OR613292.1,95. UNVERIFIED: Bat astrovirus isolate TMGXS17/3801 similar to non-structural polyprotein 1ab genomic sequence,750 bp linear RNA
OR286520.1,96. UNVERIFIED: Chicken astrovirus isolate SDAU2022-3 genomic sequence,"7,330 bp linear RNA"
OR220065.1,"97. UNVERIFIED: Avian nephritis virus isolate GD/238/17 ORF1ab gene, partial sequence; non-structural protein (ORF1a) gene, partial cds; and capsid protein (ORF2) gene, complete cds","6,743 bp linear RNA"
OR220064.1,"98. UNVERIFIED: Avian nephritis virus isolate GD/239/17 ORF1ab gene, partial sequence; non-structural protein (ORF1a) gene, partial cds; and capsid protein (ORF2) gene, complete cds","6,741 bp linear RNA"
OQ603360.1,99. UNVERIFIED: Astrovirus MLB1 isolate Fray Bentos sequence,378 bp linear RNA
OR234626.1,"100. UNVERIFIED: Goose astrovirus 2 strain SCG1 ORF2-like (ORF2) gene, complete sequence","2,115 bp linear RNA"
OR234625.1,"101. UNVERIFIED: Goose astrovirus 2 strain SCX1 ORF2-like (ORF2) gene, complete sequence","2,115 bp linear RNA"
OR234624.1,"102. UNVERIFIED: Goose astrovirus 2 strain SCD1 ORF2-like (ORF2) gene, complete sequence","2,115 bp linear RNA"
OQ513257.1,"103. UNVERIFIED: Human astrovirus isolate Salto nonstructural protein-like gene, partial sequence",419 bp linear RNA
OR188805.1,104. UNVERIFIED: Caprine astrovirus clone NTO-51 CP sequence,387 bp linear RNA
OR188804.1,105. UNVERIFIED: Caprine astrovirus clone MDB-23 CP sequence,369 bp linear RNA
OR188803.1,106. UNVERIFIED: Caprine astrovirus clone ILA-13 CP sequence,372 bp linear RNA
OR188802.1,107. UNVERIFIED: Caprine astrovirus clone ZOU-102 CP sequence,345 bp linear RNA
OR188801.1,108. UNVERIFIED: Caprine astrovirus clone ILA-18 CP sequence,339 bp linear RNA
OR188800.1,109. UNVERIFIED: Caprine astrovirus clone NTO-55 CP sequence,387 bp linear RNA
OR188799.1,110. UNVERIFIED: Caprine astrovirus clone MDB-35 CP sequence,390 bp linear RNA
OR188798.1,111. UNVERIFIED: Caprine astrovirus clone ETA-162 CP sequence,408 bp linear RNA
OR188797.1,112. UNVERIFIED: Caprine astrovirus clone ETA-154 CP sequence,375 bp linear RNA
OR188796.1,113. UNVERIFIED: Caprine astrovirus clone IMB-142 CP sequence,408 bp linear RNA
OR188795.1,114. UNVERIFIED: Caprine astrovirus clone ZOU-100 CP sequence,363 bp linear RNA
OR188794.1,115. UNVERIFIED: Caprine astrovirus clone ZOU-99 CP sequence,375 bp linear RNA
OR188793.1,116. UNVERIFIED: Caprine astrovirus clone ZOU-95 CP sequence,417 bp linear RNA
OR188792.1,117. UNVERIFIED: Caprine astrovirus clone ZOU-92 CP sequence,405 bp linear RNA
OR188791.1,118. UNVERIFIED: Caprine astrovirus clone NTO-39 CP sequence,405 bp linear RNA
OR188790.1,119. UNVERIFIED: Caprine astrovirus clone NTO-37 CP sequence,393 bp linear RNA
OR188789.1,120. UNVERIFIED: Caprine astrovirus clone MDB-27 CP sequence,351 bp linear RNA
OM892277.1,121. UNVERIFIED: Astroviridae sp. isolate 142AST genomic sequence,"2,867 bp linear RNA"
OR148666.1,122. MAG UNVERIFIED: Bovine astrovirus isolate NA4475 sequence,"6,198 bp linear RNA"
OR148665.1,123. MAG UNVERIFIED: Bovine astrovirus isolate 86599 sequence,"6,198 bp linear RNA"
OR148664.1,124. MAG UNVERIFIED: Bovine astrovirus isolate 73961 sequence,"6,289 bp linear RNA"
OR148663.1,125. MAG UNVERIFIED: Bovine astrovirus isolate 71346 sequence,"6,254 bp linear RNA"
OR148662.1,126. MAG UNVERIFIED: Bovine astrovirus isolate 53954 sequence,"6,197 bp linear RNA"
OR148661.1,127. MAG UNVERIFIED: Bovine astrovirus isolate 18707 sequence,"6,198 bp linear RNA"
OR148660.1,128. MAG UNVERIFIED: Bovine astrovirus isolate 12151 sequence,"6,108 bp linear RNA"
OQ198437.1,"129. UNVERIFIED: Human astrovirus strain Hu/JB031720523/SZ/CHN/2017, partial genome","6,010 bp linear RNA"
OQ198436.1,"130. UNVERIFIED: Human astrovirus strain Hu/JB031720224/SZ/CHN/2017, partial genome","5,956 bp linear RNA"
OQ198435.1,"131. UNVERIFIED: Human astrovirus strain Hu/JB031620810/SZ/CHN/2016, partial genome","5,909 bp linear RNA"
OQ198434.1,"132. UNVERIFIED: Human astrovirus strain Hu/JB031720861/SZ/CHN/2017, partial genome","6,760 bp linear RNA"
OQ198433.1,"133. UNVERIFIED: Human astrovirus strain Hu/JB031720582/SZ/CHN/2017, partial genome","6,417 bp linear RNA"
OQ198432.1,"134. UNVERIFIED: Human astrovirus strain Hu/JB031720432/SZ/CHN/2017, partial genome","6,419 bp linear RNA"
OQ198431.1,"135. UNVERIFIED: Human astrovirus strain Hu/JB031620774/SZ/CHN/2016, partial genome","6,324 bp linear RNA"
OQ198430.1,"136. UNVERIFIED: Human astrovirus strain Hu/JB031620547/SZ/CHN/2016, partial genome","6,535 bp linear RNA"
OQ198429.1,"137. UNVERIFIED: Human astrovirus strain Hu/JB031820905/SZ/CHN/2018, partial genome","5,691 bp linear RNA"
OQ198428.1,"138. UNVERIFIED: Human astrovirus strain Hu/JB031720493/SZ/CHN/2017, partial genome","6,018 bp linear RNA"
OQ198427.1,"139. UNVERIFIED: Human astrovirus strain Hu/JB031920572/SZ/CHN/2019, partial genome","6,160 bp linear RNA"
MW927503.1,"140. UNVERIFIED: Rodent astrovirus isolate CHNDB/2019, complete genome","6,192 bp linear RNA"
ON682303.1,"141. UNVERIFIED: Bovine astrovirus strain BoAstV68/2021/CHN, complete genome","6,128 bp linear RNA"
ON682299.1,"142. UNVERIFIED: Bovine astrovirus strain BoAstV64/2021/CHN, complete genome","6,084 bp linear RNA"
ON682298.1,"143. UNVERIFIED: Bovine astrovirus strain BoAstV63/2021/CHN, complete genome","6,125 bp linear RNA"
ON682297.1,"144. UNVERIFIED: Bovine astrovirus strain BoAstV62/2021/CHN, complete genome","6,164 bp linear RNA"
ON682294.1,"145. UNVERIFIED: Bovine astrovirus strain BoAstV59/2021/CHN, complete genome","6,129 bp linear RNA"
ON682284.1,"146. UNVERIFIED: Bovine astrovirus strain BoAstV49/2021/CHN, complete genome","5,994 bp linear RNA"
ON682280.1,"147. UNVERIFIED: Bovine astrovirus strain BoAstV45/2021/CHN, complete genome","6,214 bp linear RNA"
ON682279.1,"148. UNVERIFIED: Bovine astrovirus strain BoAstV44/2021/CHN, complete genome","6,242 bp linear RNA"
ON682277.1,"149. UNVERIFIED: Bovine astrovirus strain BoAstV42/2021/CHN, complete genome","6,240 bp linear RNA"
ON682274.1,"150. UNVERIFIED: Bovine astrovirus strain BoAstV39/2021/CHN, complete genome","6,003 bp linear RNA"
ON682273.1,"151. UNVERIFIED: Bovine astrovirus strain BoAstV38/2021/CHN, complete genome","6,196 bp linear RNA"
ON682271.1,"152. UNVERIFIED: Bovine astrovirus strain BoAstV36/2021/CHN, complete genome","6,119 bp linear RNA"
ON971223.1,153. UNVERIFIED: Goose astrovirus isolate AstV/AHHX genomic sequence,"7,251 bp linear RNA"
OM811460.1,"154. UNVERIFIED: Goose astrovirus isolate Astv/Goose/Heilongjiang/ZYL02/2019, complete genome","7,182 bp linear RNA"
OM811459.1,"155. UNVERIFIED: Goose astrovirus isolate Astv/Goose/Heilongjiang/ZYL03/2019, complete genome","7,191 bp linear RNA"
ON010707.1,"156. UNVERIFIED: Bovine astrovirus strain HLJ/MDJ/29/2022 ORF1a-like gene, partial sequence",301 bp linear RNA
ON010706.1,"157. UNVERIFIED: Bovine astrovirus strain HLJ/MDJ/28/2022 ORF1a-like gene, partial sequence",266 bp linear RNA
ON010705.1,"158. UNVERIFIED: Bovine astrovirus strain HLJ/SYS/27/2022 ORF1a-like gene, partial sequence",285 bp linear RNA
ON010704.1,"159. UNVERIFIED: Bovine astrovirus strain HLJ/QQHE/26/2022 ORF1a-like gene, partial sequence",252 bp linear RNA
ON010703.1,"160. UNVERIFIED: Bovine astrovirus strain HLJ/QQHE/25/2022 ORF1a-like gene, partial sequence",246 bp linear RNA
ON010702.1,"161. UNVERIFIED: Bovine astrovirus strain HLJ/YC/24/2022 ORF1a-like gene, partial sequence",341 bp linear RNA
ON010701.1,"162. UNVERIFIED: Bovine astrovirus strain HLJ/JX/23/2022 ORF1a-like gene, partial sequence",276 bp linear RNA
ON010700.1,"163. UNVERIFIED: Bovine astrovirus strain HLJ/JX/22/2022 ORF1a-like gene, partial sequence",303 bp linear RNA
ON010699.1,"164. UNVERIFIED: Bovine astrovirus strain HLJ/JX/21/2022 ORF1a-like gene, partial sequence",276 bp linear RNA
ON010698.1,"165. UNVERIFIED: Bovine astrovirus strain HLJ/JX/20/2022 ORF1a-like gene, partial sequence",243 bp linear RNA
ON010697.1,"166. UNVERIFIED: Bovine astrovirus strain HLJ/HG/19/2022 ORF1a-like gene, partial sequence",236 bp linear RNA
ON010696.1,"167. UNVERIFIED: Bovine astrovirus strain HLJ/HH/18/2022 ORF1a-like gene, partial sequence",243 bp linear RNA
ON010695.1,"168. UNVERIFIED: Bovine astrovirus strain HLJ/HH/17/2022 ORF1a-like gene, partial sequence",234 bp linear RNA
ON010694.1,"169. UNVERIFIED: Bovine astrovirus strain HLJ/HH/16/2022 ORF1a-like gene, partial sequence",243 bp linear RNA
ON010693.1,"170. UNVERIFIED: Bovine astrovirus strain HLJ/HH/15/2022 ORF1a-like gene, partial sequence",273 bp linear RNA
ON010692.1,"171. UNVERIFIED: Bovine astrovirus strain HLJ/HH/14/2022 ORF1a-like gene, partial sequence",273 bp linear RNA
ON010691.1,"172. UNVERIFIED: Bovine astrovirus strain HLJ/HH/13/2022 ORF1a-like gene, partial sequence",252 bp linear RNA
ON010690.1,"173. UNVERIFIED: Bovine astrovirus strain HLJ/HH/12/2022 ORF1a-like gene, partial sequence",251 bp linear RNA
ON010689.1,"174. UNVERIFIED: Bovine astrovirus strain HLJ/HH/11/2022 ORF1a-like gene, partial sequence",272 bp linear RNA
ON010688.1,"175. UNVERIFIED: Bovine astrovirus strain HLJ/HH/10/2022 ORF1a-like gene, partial sequence",340 bp linear RNA
ON010687.1,"176. UNVERIFIED: Bovine astrovirus strain HLJ/HEB/9/2022 ORF1a-like gene, partial sequence",303 bp linear RNA
ON010686.1,"177. UNVERIFIED: Bovine astrovirus strain HLJ/HEB/8/2022 ORF1a-like gene, partial sequence",282 bp linear RNA
ON010685.1,"178. UNVERIFIED: Bovine astrovirus strain HLJ/HEB/7/2022 ORF1a-like gene, partial sequence",290 bp linear RNA
ON010684.1,"179. UNVERIFIED: Bovine astrovirus strain HLJ/HEB/6/2022 ORF1a-like gene, partial sequence",323 bp linear RNA
ON010683.1,"180. UNVERIFIED: Bovine astrovirus strain HLJ/HEB/5/2022 ORF1a-like gene, partial sequence",341 bp linear RNA
ON010682.1,"181. UNVERIFIED: Bovine astrovirus strain HLJ/DXAL/4/2022 ORF1a-like gene, partial sequence",247 bp linear RNA
ON010681.1,"182. UNVERIFIED: Bovine astrovirus strain HLJ/DXAL/3/2022 ORF1a-like gene, partial sequence",339 bp linear RNA
ON010680.1,"183. UNVERIFIED: Bovine astrovirus strain HLJ/DXAL/2/2022 ORF1a-like gene, partial sequence",274 bp linear RNA
ON010679.1,"184. UNVERIFIED: Bovine astrovirus strain HLJ/DXAL/1/2022 ORF1a-like gene, partial sequence",253 bp linear RNA
ON010678.1,"185. UNVERIFIED: Bovine astrovirus strain HLJ/HH/ORF1b/2 RdRp-like gene, partial sequence",834 bp linear RNA
ON010677.1,"186. UNVERIFIED: Bovine astrovirus strain HLJ/HH/ORF1b/1 RdRp-like gene, partial sequence",833 bp linear RNA
ON049473.1,"187. UNVERIFIED: Goose astrovirus strain GoAstV/Guangdong/QY1/2019, partial sequence","7,033 bp linear RNA"
ON049472.1,"188. UNVERIFIED: Goose astrovirus strain GoAstV/Guangdong/NH2/2019, partial sequence","7,033 bp linear RNA"
ON049471.1,"189. UNVERIFIED: Goose astrovirus strain GoAstV/Guangdong/JYF6/2019, partial sequence","7,033 bp linear RNA"
ON049470.1,"190. UNVERIFIED: Goose astrovirus strain GoAstV/Guangdong/GZ-HOD/2021, partial sequence","7,033 bp linear RNA"
ON049469.1,"191. UNVERIFIED: Goose astrovirus strain GoAstV/Guangdong/DBN30/2019, partial sequence","7,033 bp linear RNA"
ON049468.1,"192. UNVERIFIED: Goose astrovirus strain GoAstV/Guangdong/DBN1/2019, partial sequence","7,033 bp linear RNA"
ON049467.1,"193. UNVERIFIED: Goose astrovirus strain GoAstV/Fujian/LWY5/2019, partial sequence","7,033 bp linear RNA"
OM793621.1,194. UNVERIFIED: Goose astrovirus strain JS-1 sequence,"7,274 bp linear RNA"
ON792966.1,"195. UNVERIFIED: Porcine astrovirus 4 isolate SP-VC36, partial genome","5,269 bp linear RNA"
ON792965.1,"196. UNVERIFIED: Porcine astrovirus 4 isolate SP-VC57, partial genome","6,513 bp linear RNA"
OK169911.1,"197. UNVERIFIED: Goose astrovirus isolate JS20, complete genome","7,175 bp linear RNA"
OM569657.1,198. UNVERIFIED: Goose astrovirus isolate CHSH02 genomic sequence,"7,155 bp linear RNA"
OM569656.1,199. UNVERIFIED: Goose astrovirus isolate CHSH01 genomic sequence,"7,331 bp linear RNA"
MW787032.1,"200. UNVERIFIED: Duck astrovirus strain Astrovirus/Teal/Egypt/MB-P-840C/2016 putative RNA-dependent RNA polymerase-like (ORF1ab) gene, partial sequence",218 bp linear cRNA
MW787018.1,"201. UNVERIFIED: Turkey astrovirus 2 strain Astrovirus/Pintail/Egypt/MB-D-726C/2016 putative RNA-dependent RNA polymerase-like (ORF1ab) gene, partial sequence",232 bp linear cRNA
OM366111.1,"202. UNVERIFIED: Mamastrovirus 3 strain PAstV5/ORF2/RVA1/KS/2019 ORF2 gene, complete sequence","2,229 bp linear RNA"
MZ819169.1,"203. UNVERIFIED: Porcine astrovirus 5 isolate PoAstV5/Swine/CHI/CF2672/2017, complete genome","6,423 bp linear RNA"
MZ819163.1,"204. UNVERIFIED: Porcine astrovirus 2 isolate PoAstV2/Swine/CHI/FB148/2017, complete genome","5,711 bp linear RNA"
MW653747.1,"205. UNVERIFIED: Mamastrovirus 22 isolate USA/IA/6535C/2018, complete genome","6,433 bp linear RNA"
